dates,Volume,Zero,NssZero,DiffZero,Yield,NssYield,DiffYield,dayRet,stdev,skew,pct_chg,month_cum,month_pct,scale,dates_2,month_cum_2,signal,month_delta,month_diff
12/27/2021,2470000000,0.028497189,0.02819128,-3.059122609,0.028325,0.027942303,-3.826973993,-1.611460598,1.65104876,-0.039603871,0.005654806,-3.515817906,1.25%,-10,12/27/2021,-1.611460598,-1,0,0
12/28/2021,6300000000,0.028374874,0.02792435,-4.505241957,0.028225,0.027687525,-5.374747453,-1.223151127,1.655025039,-0.002711585,0.004310684,-4.738969033,1.68%,-10,12/28/2021,-2.834611725,-1,0,0
12/29/2021,8135100000,0.02824144,0.02787865,-3.627930333,0.028084,0.027636632,-4.473675386,-1.334331308,1.646780001,0.069219279,0.004724728,-6.073300341,2.15%,-10,12/29/2021,-4.168943033,-1,0,0
12/30/2021,6055050000,0.02796034,0.02780551,-1.548281709,0.0278,0.027509151,-2.90848675,-2.81100472,1.652775055,0.061338345,0.010053543,-8.884305062,3.16%,-10,12/30/2021,-6.979947753,-1,0,0
12/31/2021,1562450000,0.028026692,0.02772701,-2.99682709,0.027866,0.027422256,-4.437437724,0.663524605,1.652228081,0.062194941,-0.002367474,-8.220780456,2.92%,-10,12/31/2021,-6.316423148,-1,0,0
1/4/2022,10234590000,0.028058268,0.02765241,-4.05856296,0.027866,0.02734795,-5.180501441,0.315758864,1.644771788,0.075684619,-0.001125368,0.315758864,-0.11%,-15,1/4/2022,0.315758864,1,0,1
1/5/2022,6876450000,0.028149978,0.027802,-3.479782574,0.02795,0.027484896,-4.651039477,0.917092646,1.654799116,0.019354815,-0.003257881,1.23285151,-0.44%,-15,1/5/2022,1.23285151,1,0,1
1/6/2022,10656310000,0.028391169,0.02765168,-7.394919729,0.02821,0.027394997,-8.150030016,2.411917644,1.696528437,0.042825668,-0.008495309,3.644769153,-1.29%,-15,1/6/2022,3.644769154,1,0,1
1/7/2022,6264390000,0.028351982,0.02778374,-5.682465618,0.02815,0.027515549,-6.344506723,-0.391869742,1.6965261,0.043755907,0.00138216,3.252899411,-1.15%,-15,1/7/2022,3.252899412,1,0,1
1/10/2022,5653400000,0.028060561,0.02786852,-1.920391928,0.027861,0.027554832,-3.061682124,-2.91421501,1.728475643,0.094874153,0.010385448,0.338684402,-0.11%,-15,1/10/2022,0.338684402,1,0,1
1/11/2022,8846860000,0.028171291,0.02771802,-4.532733455,0.027971,0.027420161,-5.508391356,1.107296647,1.70004405,0.03979738,-0.003930585,1.445981049,-0.50%,-15,1/11/2022,1.445981049,1,0,1
1/12/2022,4150000000,0.027972152,0.02749402,-4.781275265,0.027775,0.027222066,-5.529339228,-1.99138826,1.715131889,0.078508756,0.007119182,-0.545407211,0.21%,-15,1/12/2022,-0.545407211,-1,0,1
