dates,Code,Volume,Zero,NssZero,DiffZero,Yield,NssYield,DiffYield,dayRet,stdev,skew,dates,month
10/18/2021,210013.IB,48252000000,0.030365309,0.029929447,-4.358618294,0.03015,0.029609229,-5.40771347,,,,10/18/2021,0
10/19/2021,210013.IB,5260000000,0.030348477,0.03007334,-2.751371349,0.03015,0.029797084,-3.52916164,-0.168320941,,,10/19/2021,-0.168320941
10/20/2021,210013.IB,5480000000,0.030454915,0.029695991,-7.589234795,0.030205,0.029378825,-8.261750135,1.064377514,,,10/20/2021,0.896056573
10/21/2021,210013.IB,5350000000,0.030195729,0.029638107,-5.576221217,0.030018,0.029317611,-7.003890516,-2.591852938,,,10/21/2021,-1.695796365
10/22/2021,210013.IB,4985000000,0.030266078,0.029747312,-5.187659432,0.03005,0.02943198,-6.180196883,0.703484426,,,10/22/2021,-0.992311939
10/25/2021,210013.IB,5330000000,0.030355662,0.02962522,-7.304416657,0.030119,0.029339705,-7.792951697,0.89584154,,,10/25/2021,-0.096470399
10/26/2021,210013.IB,3270000000,0.030267747,0.029664347,-6.033994595,0.030046,0.029311537,-7.344632836,-0.87915112,,,10/26/2021,-0.975621519
10/27/2021,210013.IB,3010000000,0.030324352,0.02976616,-5.581918051,0.0301,0.029452537,-6.474626154,0.566053676,,,10/27/2021,-0.409567843
10/28/2021,210013.IB,5112000000,0.030287716,0.029610051,-6.776649298,0.03008,0.029306176,-7.73824009,-0.366366451,,,10/28/2021,-0.775934294
10/29/2021,210013.IB,7931850000,0.030332024,0.029611871,-7.201525346,0.030075,0.02935472,-7.202797722,0.44308432,,,10/29/2021,-0.332849974
11/1/2021,210013.IB,4480300000,0.030022782,0.029420299,-6.024825599,0.029825,0.029095297,-7.297029989,-3.092421184,,,11/1/2021,-3.092421184
11/2/2021,210013.IB,4628000000,0.029982094,0.029335047,-6.47047263,0.029775,0.029035206,-7.397941036,-0.40687696,,,11/2/2021,-3.499298144
11/3/2021,210013.IB,8492200000,0.02973395,0.029132188,-6.01761711,0.02953,0.028790461,-7.395391392,-2.48143995,,,11/3/2021,-5.980738094
11/4/2021,210013.IB,7796400000,0.029560637,0.029198172,-3.624648717,0.02935,0.028788179,-5.618211564,-1.733128915,,,11/4/2021,-7.713867009
11/5/2021,210013.IB,14942000000,0.02919711,0.028962638,-2.344717142,0.029025,0.028705575,-3.19424597,-3.635275833,,,11/5/2021,-11.34914284
11/8/2021,210013.IB,75138900000,0.029367064,0.028884741,-4.823232159,0.029175,0.028606405,-5.68594661,1.699543604,,,11/8/2021,-9.649599238
11/9/2021,210013.IB,10450600000,0.029487452,0.028878794,-6.086581525,0.0293,0.028577884,-7.221159062,1.203880766,,,11/9/2021,-8.445718473
11/10/2021,210013.IB,15334100000,0.029460844,0.028858303,-6.025412971,0.02925,0.028587311,-6.62688757,-0.266080447,,,11/10/2021,-8.71179892
11/11/2021,210013.IB,13648900000,0.02969282,0.029035293,-6.575269075,0.029478,0.02872957,-7.484296104,2.319761443,,,11/11/2021,-6.392037476
11/12/2021,210013.IB,7127800000,0.029598174,0.029115553,-4.826217061,0.0294,0.028831154,-5.688461371,-0.946459199,,,11/12/2021,-7.338496676
11/15/2021,210013.IB,6770000000,0.029423922,0.029114728,-3.091931771,0.02923,0.028798816,-4.311837552,-1.74252669,,,11/15/2021,-9.081023365
11/16/2021,210013.IB,5972000000,0.0293887,0.028991449,-3.972515536,0.029175,0.028673686,-5.013139741,-0.35221162,,,11/16/2021,-9.433234985
11/17/2021,210013.IB,6491500000,0.029455777,0.029044131,-4.11646064,0.029225,0.028698549,-5.264514833,0.670763844,,,11/17/2021,-8.762471141
11/18/2021,210013.IB,6687660000,0.029279426,0.028951718,-3.277076317,0.0291,0.028669312,-4.306876137,-1.76350839,,,11/18/2021,-10.52597953
11/19/2021,210013.IB,8708300000,0.029489485,0.029059858,-4.296264891,0.0293,0.028767668,-5.323317797,2.100586916,,,11/19/2021,-8.425392615
11/22/2021,210013.IB,13565000000,0.029313249,0.028979712,-3.335375995,0.029135,0.028708519,-4.264808935,-1.762354159,,,11/22/2021,-10.18774677
